word,x_values,y_values,count
iphone,6.185928,-0.7151752,1592
after,0.7004805,0.01687816,21
tweeting,1.4069861,0.024911392,28
rise,0.5371645,0.06659029,11
austin,5.404637,-2.7799191,973
dead,1.1408118,-0.034633204,18
need,4.858425,0.21839465,238
upgrade,0.66793156,-0.01714809,13
station,0.74184793,0.029488394,12
sxsw,5.182929,-0.3345412,9636
know,3.7847834,-1.0710065,200
awesome,3.8923595,-0.39410526,135
ipad,5.628543,-2.0864806,3004
likely,0.51415265,0.047746517,13
design,4.590718,-0.37114146,143
also,3.8142219,-0.13511083,79
giving,2.7026274,-0.36144736,71
free,4.951511,-1.0138222,388
wait,2.5358868,-0.56894153,77
they,3.6398365,-0.23741248,67
sale,1.5014154,-0.3142239,47
hope,2.2906299,-0.30036598,55
year,4.8181496,0.04111906,168
festival,1.2760049,-0.20507286,32
great,5.14475,-0.34807214,222
stuff,1.4171057,-0.10677486,36
marissa,4.032472,2.0535269,185
mayer,4.754263,2.2865217,211
google,6.1251035,4.622459,2653
tech,3.8491004,-0.2598723,167
book,2.3535738,-0.15719682,40
conference,2.3080802,-0.24623862,73
matt,1.0163463,-0.019360222,12
apps,4.8992324,0.2316965,226
communication,1.3835549,-0.03488808,22
showcased,1.2708514,-0.016759811,20
http,1.4092088,-0.019789416,29
edchat,1.8153323,0.10414016,37
starting,1.7565961,0.016365016,33
around,3.9337332,-0.48286074,131
corner,0.8068897,-0.20019375,14
good,4.918339,0.27015567,177
time,5.313656,-0.41510612,306
android,5.6492634,-0.19212659,598
smart,2.5055218,-0.5780453,63
simple,0.5521349,-0.03851507,10
idea,2.1878545,0.08099198,49
wrote,0.6189256,0.0132482145,12
hollergram,1.0074787,-0.07981041,32
day,2.3278658,-0.40498567,51
plus,1.1629627,0.0033298095,20
mean,1.8812823,-0.028961442,30
stock,0.750902,-0.27401727,22
apple,6.321483,-4.0528884,2342
excited,1.5343896,0.18999857,44
meet,2.7757807,-0.11342604,64
show,4.6244054,-0.26217338,140
galaxy,0.21142742,0.0017612566,11
still,3.46465,-0.9992458,107
running,0.94217616,-0.1753368,18
fail,1.5894828,0.087782264,38
find,3.0702724,0.0012539803,89
start,2.5444393,-0.12456999,49
party,5.292106,0.47743785,401
with,2.8649204,0.35065874,62
come,4.449355,-0.9957294,229
foursquare,2.6503844,0.048283815,52
game,4.965853,0.348123,158
best,4.810502,-0.45663747,146
looking,3.019216,0.058043767,80
gotta,0.59756565,-0.039784275,18
love,3.676828,-0.83643925,146
calendar,1.2091161,0.030695995,20
