word,x_values,y_values,count
tweeting,0.82046807,-0.012499515,28
rise,0.37634316,0.003478353,11
dead,0.73111004,-0.033749204,18
need,3.9828346,0.020948611,238
upgrade,0.37662598,-0.0074088247,13
plugin,-0.06316564,0.004887472,4
station,0.4271167,-0.040221818,12
know,3.193548,-0.30603263,200
awesome,3.1021552,-0.18599184,135
likely,0.26043293,0.013959806,13
appreciate,-0.11113785,0.0044337744,5
design,4.019419,-0.15933505,143
also,2.7026744,-0.10404712,79
giving,2.097018,-0.11153362,71
free,4.5649724,-0.3645213,388
wait,1.9270232,-0.10096901,77
sale,1.1210569,-0.08354992,47
hope,1.6456244,-0.028374815,55
year,3.8084848,-0.36668912,168
festival,0.83228153,-0.061614644,32
great,4.0922103,-0.30953568,222
stuff,0.9657178,-0.03619095,36
marissa,3.2821126,-0.74373174,185
mayer,3.4865944,-0.71453625,211
reilly,0.12032748,-0.012813948,9
tech,3.294121,0.09623543,167
book,1.4868015,-0.10369754,38
conference,1.7683752,-0.1994597,73
matt,0.547015,-0.033140186,12
wordpress,0.09071896,-0.025522267,9
apps,4.084291,-0.06275168,226
communication,1.0250382,-0.04847326,22
showcased,0.9112232,-0.055109147,20
http,0.9107816,-0.08614178,29
edchat,1.3765107,-0.07794311,37
starting,1.133316,-0.07123189,33
around,3.1650639,-0.21734275,131
corner,0.3798915,-0.023447704,14
jump,0.007958383,0.014096371,5
good,3.875,-0.04266789,177
time,4.422304,-0.23899443,306
android,4.860034,-0.36594573,598
smart,1.6498094,-0.17254552,63
simple,0.21503419,-0.020249285,10
idea,1.5687754,-0.060778704,49
wrote,0.2896925,-0.024697563,12
hollergram,0.704123,-0.07257653,32
day,1.5893188,-0.13455383,51
plus,0.75758237,0.0023251243,20
strong,0.025405498,0.047507044,7
canadian,0.13341257,0.006265991,8
dollar,0.17464688,-0.023472652,7
mean,1.1794078,-0.06981985,30
stock,0.3835099,-0.052735876,22
gear,-0.056642745,-0.004303463,6
excited,0.8827562,0.11216601,44
meet,1.9448355,-0.07818192,64
show,4.1876173,-0.27397892,140
sprint,0.13856721,-0.022073599,7
galaxy,0.058986705,-0.04790395,10
still,2.6758256,-0.2148768,107
running,0.45808277,-0.07006336,18
fail,1.2678208,-0.021963047,38
find,2.3023114,-0.076387346,89
start,1.6380975,-0.06005354,49
impromptu,-0.20753309,0.007464358,4
party,4.7511845,-0.32424605,401
come,3.6036708,-0.38305902,229
foursquare,1.699736,-0.085148185,52
game,4.3934846,0.12609361,153
prefer,-0.027693115,-0.015706347,9
best,3.8271277,-0.3669222,146
looking,2.1558888,-0.09183623,80
gotta,0.29659492,0.0041637355,18
love,3.1570432,-0.2934194,146
calendar,0.61332786,-0.029586786,20
featuring,0.10009267,-0.022775946,10
case,3.4840248,-0.24469125,122
check,4.054464,-0.20828441,266
haha,0.47077063,-0.0034029318,23
awesomely,-0.066871695,0.007067458,6
holler,0.6976477,-0.050895967,22
gram,0.6947958,-0.06531414,22
itunes,2.232751,-0.2299091,98
store,4.232746,-0.2365583,1528
coming,2.6172662,0.074747585,104
weekend,1.2160975,-0.121341236,44
many,2.2663703,-0.07498794,78
user,3.9373012,-0.49628964,156
hour,2.6725078,-0.18972942,89
late,0.68895656,-0.007893841,31
sunday,0.29149485,-0.042192075,11
morning,1.0422007,-0.061701775,43
added,0.36187333,-0.009105945,18
flight,1.0546224,-0.074502684,25
people,4.0440135,-0.25600594,231
plane,0.58512425,-0.04101546,18
airport,0.8268651,-0.06961225,21
downloaded,0.31567454,-0.026227588,11
done,0.65758365,0.008013768,21
