text,product,target,clean
".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,0,iphone after tweeting rise austin dead need upgrade plugin station sxsw
"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,2,know awesome ipad iphone likely appreciate design also giving free sxsw
@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,2,wait ipad also they sale sxsw
@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,0,hope year festival crashy year iphone sxsw
"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,2,great stuff sxsw marissa mayer google reilly tech book conference matt mullenweg wordpress
@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,,1,ipad apps speechtherapy communication showcased sxsw conference http iear edchat asd
"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,2,sxsw starting ctia around corner googleio skip jump good time android
Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,iPad or iPhone App,2,beautifully smart simple idea wrote hollergram ipad sxsw http ieavob
Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,2,counting day sxsw plus strong canadian dollar mean stock apple gear
Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Android,2,excited meet sxsw show sprint galaxy still running android fail
Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,2,find start impromptu party sxsw with http gvlrin wait android come
"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,2,foursquare game time sxsw http still prefer best looking android date
Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,2,gotta love sxsw google calendar featuring party show case check http axzwxb
Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,2,great sxsw ipad http tinyurl
"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,2,haha awesomely ipad http htdfim hollergram sxsw
Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,,1,holler gram ipad itunes store http sxsw
I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,0,noticed coming weekend many iphone user hour late sxsw come sunday morning sxsw iphone
"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,2,just added sxsw flight matching people plane airport also downloaded iphone nicely done
Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,2,must sxsw lovely review forbes sxsw ipad holler gram http gzypv
Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,2,need ipad austin sxsw sure need austin apple store
"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,2,sxsw ipad pure unadulterated awesome easier browse event ipad website
"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,2,okay really android kthxbai sxsw
"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,2,photo just installed sxsw iphone really nice http tumblr
Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,2,really enjoying change gowalla android looking forward seeing else foursquare sleeve sxsw
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,2,looking forward smcdallas sxsw party hoping ipad resulting shameless promotion chevysmc
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,2,haha awesomely ipad http htdfim hollergram sxsw
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,2,someone started austin group google group sxsw great idea
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,2,look like going rock update iphone android push tonight http etsbzk sxsw keepaustinweird
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,2,they right android sweeeeet nice team sxsw
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,2,very smart hollergram ipad sxsw http xvwc leave vuvuzela home
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,2,must ipad going sxsw http itunes apple holler gram hollergram
"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",,1,attn sxsw frineds register gdgtlive cobra iradar android link
Anyone at  #sxsw want to sell their old iPad?,,1,anyone sxsw want sell ipad
Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,,1,anyone sxsw bought ipad want sell older ipad
"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",,1,sxsw oooh google launch major social network called circle possibly today link
The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,2,best first line ipad sxsw quot quot apple store event planner eventprofs pcma engage
SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,,1,spin play concept music discovery ipad spin link itunes sxsw
@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,0,false alarm google circle coming probably ever link google circle social sxsw
VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,,1,vatornews google apple force print medium evolve link sxsw
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,2,great weather greet sxsw still need sweater night apple putting quot flash store quot downtown sell ipad
"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",,1,hootsuite hootsuite mobile sxsw update iphone blackberry android whether getting friend link
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,,1,sxsw long think take make iphone case answer using zazzlesxsw make
Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},,1,mashable ipad take over sxsw video ipad sxsw gadget link
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},,1,ubersocial iphone store includes uberguide sxsw sponsored link
#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,2,ipad smartcover open instant access waited link apple sxsw
Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},,2,hand held hobo drafthouse launch hobo with shotgun iphone sxsw link
HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,2,hooray apple opening store austin sxsw link
Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,,1,orly google launch social network circle today sxsw
wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,2,wooooo apple store downtown austin open midnight sxsw
Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,1,khoi vinh say conde nast headlong rush ipad publishing quot fundamental misunderstanding quot platform sxsw
"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",,1,link help forward this anonymous account techie help libya sxsw
÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,1,what link edchat musedchat sxsw sxswi classical newtwitter
".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",,1,location based fast future link sxsw
ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,,1,google will connect digital physical world through mobile link sxsw
