x_values,y_values,count,word,Cluster,Silhouette
continuous,continuous,continuous,string,C1 C2 C3 C4 C5 C6 C7 C8 C9,continuous
,,,meta,meta,meta
0.82046807,-0.012499515,28.0,tweeting,C6,0.6171005511519418
0.37634316,0.003478353,11.0,rise,C6,0.5089248674219746
0.73111004,-0.033749204,18.0,dead,C6,0.6704574127546136
3.9828346,0.020948611,238.0,need,C4,0.6222499991217814
0.37662598,-0.0074088247,13.0,upgrade,C6,0.5330207335246422
-0.06316564,0.004887472,4.0,plugin,C1,0.7041848595956676
0.4271167,-0.040221818,12.0,station,C6,0.5960350581273356
3.193548,-0.30603263,200.0,know,C4,0.6377763097968886
3.1021552,-0.18599184,135.0,awesome,C4,0.5668267396444988
0.26043293,0.013959806,13.0,likely,C1,0.6179520161340779
-0.11113785,0.0044337744,5.0,appreciate,C1,0.6987587199924923
4.019419,-0.15933505,143.0,design,C4,0.6567139180075696
2.7026744,-0.10404712,79.0,also,C8,0.6651517714411367
2.097018,-0.11153362,71.0,giving,C8,0.656271936113556
4.5649724,-0.3645213,388.0,free,C9,0.6710223279582158
1.9270232,-0.10096901,77.0,wait,C8,0.6281895924321909
1.1210569,-0.08354992,47.0,sale,C3,0.6485823203136332
1.6456244,-0.028374815,55.0,hope,C3,0.5912189991481009
3.8084848,-0.36668912,168.0,year,C4,0.6611838695585683
0.83228153,-0.061614644,32.0,festival,C6,0.5744075906331488
4.0922103,-0.30953568,222.0,great,C4,0.6475033914307899
0.9657178,-0.03619095,36.0,stuff,C3,0.5482491704986998
3.2821126,-0.74373174,185.0,marissa,C4,0.5973977406841497
3.4865944,-0.71453625,211.0,mayer,C4,0.6139917530911447
0.12032748,-0.012813948,9.0,reilly,C1,0.6995770531339325
3.294121,0.09623543,167.0,tech,C4,0.577946484068434
1.4868015,-0.10369754,38.0,book,C3,0.665708739457408
1.7683752,-0.1994597,73.0,conference,C8,0.5687679391114462
0.547015,-0.033140186,12.0,matt,C6,0.650395163286249
0.09071896,-0.025522267,9.0,wordpress,C1,0.7002587967777918
4.084291,-0.06275168,226.0,apps,C4,0.6425266519946352
1.0250382,-0.04847326,22.0,communication,C3,0.5296730819932741
0.9112232,-0.055109147,20.0,showcased,C6,0.5708689437169354
0.9107816,-0.08614178,29.0,http,C3,0.4931827695256382
1.3765107,-0.07794311,37.0,edchat,C3,0.6709631536723661
1.133316,-0.07123189,33.0,starting,C3,0.6380766312145845
3.1650639,-0.21734275,131.0,around,C4,0.5779559146338801
0.3798915,-0.023447704,14.0,corner,C6,0.5560371955885626
0.007958383,0.014096371,5.0,jump,C1,0.7060077230254889
3.875,-0.04266789,177.0,good,C4,0.6519909946775112
4.422304,-0.23899443,306.0,time,C9,0.5640120767343532
4.860034,-0.36594573,598.0,android,C9,0.6385368038835836
1.6498094,-0.17254552,63.0,smart,C3,0.5229449337032239
0.21503419,-0.020249285,10.0,simple,C1,0.658917372991138
1.5687754,-0.060778704,49.0,idea,C3,0.6363328277252185
0.2896925,-0.024697563,12.0,wrote,C1,0.5845103603733293
0.704123,-0.07257653,32.0,hollergram,C6,0.634275115776946
1.5893188,-0.13455383,51.0,day,C3,0.6083390414620564
0.75758237,0.0023251243,20.0,plus,C6,0.6581449610406045
0.025405498,0.047507044,7.0,strong,C1,0.6852771064349158
0.13341257,0.006265991,8.0,canadian,C1,0.6955460514235854
0.17464688,-0.023472652,7.0,dollar,C1,0.6812896772111796
1.1794078,-0.06981985,30.0,mean,C3,0.6406795961096328
0.3835099,-0.052735876,22.0,stock,C6,0.5892227947821779
-0.056642745,-0.004303463,6.0,gear,C1,0.7067804128983479
0.8827562,0.11216601,44.0,excited,C6,0.537307422668677
1.9448355,-0.07818192,64.0,meet,C8,0.6099294531452124
4.1876173,-0.27397892,140.0,show,C4,0.6546779758151389
0.13856721,-0.022073599,7.0,sprint,C1,0.6938986895692743
0.058986705,-0.04790395,10.0,galaxy,C1,0.6863593683838309
2.6758256,-0.2148768,107.0,still,C8,0.6268811926313809
0.45808277,-0.07006336,18.0,running,C6,0.6243334836913761
1.2678208,-0.021963047,38.0,fail,C3,0.6536340958352992
2.3023114,-0.076387346,89.0,find,C8,0.6674846568676459
1.6380975,-0.06005354,49.0,start,C3,0.6105896741166706
-0.20753309,0.007464358,4.0,impromptu,C1,0.6833548306084358
4.7511845,-0.32424605,401.0,party,C9,0.6722355264594596
3.6036708,-0.38305902,229.0,come,C4,0.645104496661321
1.699736,-0.085148185,52.0,foursquare,C3,0.5668239324472378
4.3934846,0.12609361,153.0,game,C4,0.6162969436600874
-0.027693115,-0.015706347,9.0,prefer,C1,0.7061535904557117
3.8271277,-0.3669222,146.0,best,C4,0.6525303732127027
2.1558888,-0.09183623,80.0,looking,C8,0.6638476278146033
0.29659492,0.0041637355,18.0,gotta,C1,0.5544373300889698
3.1570432,-0.2934194,146.0,love,C4,0.6081321271796992
0.61332786,-0.029586786,20.0,calendar,C6,0.6747984208768708
0.10009267,-0.022775946,10.0,featuring,C1,0.6984806249505996
3.4840248,-0.24469125,122.0,case,C4,0.6154653537776607
4.054464,-0.20828441,266.0,check,C4,0.5565797176402996
0.47077063,-0.0034029318,23.0,haha,C6,0.6304860830217962
-0.066871695,0.007067458,6.0,awesomely,C1,0.7041122230292822
0.6976477,-0.050895967,22.0,holler,C6,0.6728604467928927
0.6947958,-0.06531414,22.0,gram,C6,0.6674795594357378
2.232751,-0.2299091,98.0,itunes,C8,0.6535717664591494
4.232746,-0.2365583,1528.0,store,C5,0.5
2.6172662,0.074747585,104.0,coming,C8,0.6331504499206522
1.2160975,-0.121341236,44.0,weekend,C3,0.6603773769076384
2.2663703,-0.07498794,78.0,many,C8,0.6672452046014568
3.9373012,-0.49628964,156.0,user,C4,0.6418637222597066
2.6725078,-0.18972942,89.0,hour,C8,0.6607732274262513
0.68895656,-0.007893841,31.0,late,C6,0.6564139325446364
0.29149485,-0.042192075,11.0,sunday,C1,0.5734833060331442
1.0422007,-0.061701775,43.0,morning,C3,0.6206792597512437
0.36187333,-0.009105945,18.0,added,C6,0.5416831328577264
1.0546224,-0.074502684,25.0,flight,C3,0.5773884157623006
4.0440135,-0.25600594,231.0,people,C4,0.6383848565815478
0.58512425,-0.04101546,18.0,plane,C6,0.6707369685240204
0.8268651,-0.06961225,21.0,airport,C6,0.6145809849764817
0.31567454,-0.026227588,11.0,downloaded,C1,0.5557780647596507
0.65758365,0.008013768,21.0,done,C6,0.6639671721564213
1.6086525,-0.0873097,50.0,must,C3,0.6168772331202186
-0.0074365376,0.012289728,5.0,lovely,C1,0.7064957629880685
1.0036613,-0.015398657,28.0,review,C3,0.5235279202532029
1.9305129,-0.09311797,64.0,sure,C8,0.6095049866049898
-0.08937754,0.0010749234,5.0,pure,C1,0.7022316363612389
-0.04983455,-0.024395915,7.0,easier,C1,0.703155361064397
2.983376,-0.07427495,105.0,event,C8,0.5869108084190332
1.306629,-0.07069776,42.0,website,C3,0.6724238684666758
-0.15253769,0.032552857,5.0,okay,C1,0.6854372662829504
2.8287396,-0.009690305,111.0,really,C8,0.6083696812144883
2.0168169,-0.108885914,105.0,photo,C8,0.6387087973790992
-0.18692473,-0.0062248004,5.0,installed,C1,0.6872496946547886
2.0747592,-0.12967204,82.0,nice,C8,0.6579116820972257
-0.110454224,0.009533202,4.0,tumblr,C1,0.6975172669258882
0.4660552,0.0077350046,18.0,enjoying,C6,0.6159126235956293
0.87487835,-0.07479418,21.0,change,C6,0.5813970351231585
0.96179146,-0.03593116,41.0,gowalla,C3,0.5626033677751995
1.0088129,-0.06578121,32.0,forward,C3,0.5797808404295929
0.85087293,-0.09590157,28.0,seeing,C6,0.5543491907377968
1.465817,0.086253695,59.0,else,C3,0.6116548806163044
0.2391346,-0.024121298,11.0,hoping,C1,0.6377078947997176
0.025225125,-0.0060356525,5.0,promotion,C1,0.7110440035519384
1.8421725,-0.12825362,67.0,someone,C8,0.5885187552140136
0.6706216,-0.056955375,25.0,started,C6,0.6718486629179281
2.491411,-0.2233271,112.0,austin,C8,0.6419671752929879
1.5613174,0.0023838128,51.0,group,C3,0.6278129560049769
3.0784097,-0.06693257,152.0,look,C4,0.5671719985282856
4.905951,-0.094086334,308.0,like,C9,0.5629636597301624
3.550182,-0.14479734,220.0,going,C4,0.6483172975231911
1.482364,-0.10210789,46.0,rock,C3,0.6608130625733214
2.0186112,-0.055789005,92.0,update,C8,0.6378078839581389
0.36866713,-0.022046011,14.0,push,C6,0.5408588351346254
2.2853765,-0.1385726,89.0,tonight,C8,0.6709882849855153
3.3821468,-0.1714431,121.0,right,C4,0.5904548076963418
2.8161473,-0.25285277,104.0,team,C8,0.5954290446653916
