word,x_values,y_values,count
tweeting,0.0063222037,0.0027852613,6
rise,-0.0010739013,-0.0016264399,2
dead,0.003975617,0.0013684938,3
need,-0.006764146,0.0005140986,35
upgrade,-0.0025302335,0.0048143696,4
plugin,-0.0072201067,-0.0074372697,2
station,-0.003513383,-0.0051116585,3
hope,-0.0011509941,-9.326907e-05,5
year,0.0009556628,-0.00037853545,17
festival,-0.0016973435,-0.0005346167,2
crashy,-0.003068677,0.0007494917,2
coming,-0.0053441375,-0.0022698564,9
weekend,0.0013036764,0.0016024592,8
many,-0.0018224746,0.0011087775,12
user,-0.005263746,0.001226591,15
hour,-0.0010402695,6.2738596e-05,8
late,-0.00068291125,0.0054235714,4
come,0.0027092777,0.0030952364,9
sunday,-0.0028022912,0.0066579836,2
morning,0.004170928,0.0033009574,7
false,0.00075400557,0.00034630593,4
alarm,0.0008245848,0.0022868568,7
circle,-0.0036287308,-0.0020126025,29
probably,-0.0040283026,0.0025123223,5
ever,0.0014937477,-0.00032424566,9
circles,-0.002240942,-0.0009112851,8
social,0.013399279,0.0046504033,31
line,0.0018994171,-0.0042163515,22
store,0.0029939425,0.003617367,47
insane,0.0018847923,-0.0027277933,2
design,0.0053230864,-0.0013390344,29
headache,0.0031967757,-0.0049776947,17
flipboard,-0.0014215711,-0.0036473947,6
version,0.0041690916,-0.0027164891,2
android,0.003794139,0.0014253603,24
say,0.0015633093,0.0043043005,16
doe,0.0034190048,-0.0023412376,10
charger,-0.003212638,0.0017025198,3
changed,0.0018068745,-0.0007718474,2
going,-0.0070597744,0.0033391644,13
next,0.0047563436,0.0009836291,6
know,0.0045788176,-0.0012837921,11
seriously,-0.0001765734,-0.0053675543,2
mobile,-0.0026582214,-0.002574182,13
apps,0.0022488674,-0.002661378,30
crash,0.001149931,0.00708199,4
causing,0.0040389188,-0.0015557944,2
lost,-0.0024158866,-0.0010750769,8
schedule,0.008147972,0.0007439203,5
sync,-0.004987936,0.004998532,2
spent,-0.0013705652,-0.0003477961,3
already,0.0077267145,0.0021631948,13
used,-0.0011418922,0.0025425304,4
wait,-5.4960165e-05,0.0017478445,12
city,-0.004634204,-0.0054455725,3
block,0.0025238853,0.0017374997,4
seen,-0.005899186,-0.00046967051,3
wild,0.002317583,0.002250005,2
people,0.0019859783,-0.0076203295,29
fast,0.004905723,-0.0055522523,12
still,-0.005022954,-0.004321744,10
pic,5.7186e-06,0.0035250136,2
terrible,0.005953226,-0.001878576,4
flight,0.00041138093,-0.00388708,3
missed,-1.0546621e-05,-0.004615802,2
panel,0.00036457935,-0.0035372765,9
behind,-0.002433175,-0.002323008,3
bloody,-0.002047331,0.00010206276,4
meant,0.0027185366,0.0016997292,2
also,0.0008849892,-0.00015412572,6
stupid,-0.0058942647,0.0057095075,6
found,-0.0029827005,0.007977743,2
kyping,-0.00100176,0.0027779716,2
geolocation,0.00015446647,0.004843607,3
releasing,-0.001007649,-0.00025461082,2
