word,x_values,y_values
tweeting,0.0063222037,0.0027852613
rise,-0.0010739013,-0.0016264399
dead,0.003975617,0.0013684938
need,-0.006764146,0.0005140986
upgrade,-0.0025302335,0.0048143696
plugin,-0.0072201067,-0.0074372697
station,-0.003513383,-0.0051116585
hope,-0.0011509941,-9.326907e-05
year,0.0009556628,-0.00037853545
festival,-0.0016973435,-0.0005346167
crashy,-0.003068677,0.0007494917
noticed,-0.0038994069,-0.003072143
coming,-0.0053441375,-0.0022698564
weekend,0.0013036764,0.0016024592
many,-0.0018224746,0.0011087775
user,-0.005263746,0.001226591
hour,-0.0010402695,6.2738596e-05
late,-0.00068291125,0.0054235714
come,0.0027092777,0.0030952364
sunday,-0.0028022912,0.0066579836
morning,0.004170928,0.0033009574
false,0.00075400557,0.00034630593
alarm,0.0008245848,0.0022868568
circle,-0.0036287308,-0.0020126025
probably,-0.0040283026,0.0025123223
ever,0.0014937477,-0.00032424566
circles,-0.002240942,-0.0009112851
social,0.013399279,0.0046504033
line,0.0018994171,-0.0042163515
store,0.0029939425,0.003617367
insane,0.0018847923,-0.0027277933
attending,0.0025787582,-0.00445076
design,0.0053230864,-0.0013390344
headache,0.0031967757,-0.0049776947
boooo,-0.004498691,-4.350016e-05
flipboard,-0.0014215711,-0.0036473947
developing,-0.0017481457,-3.4150503e-06
version,0.0041690916,-0.0027164891
android,0.003794139,0.0014253603
say,0.0015633093,0.0043043005
doe,0.0034190048,-0.0023412376
provide,4.9548788e-05,-0.0033385982
charger,-0.003212638,0.0017025198
changed,0.0018068745,-0.0007718474
mind,-0.0026293152,-0.007987813
going,-0.0070597744,0.0033391644
next,0.0047563436,0.0009836291
know,0.0045788176,-0.0012837921
dataviz,0.0064787227,0.0046491036
translates,0.0001434477,0.0004897854
satanic,-0.003175888,-0.0014611313
sayin,0.006999615,0.0038182705
seriously,-0.0001765734,-0.0053675543
testing,0.002199519,-0.0030790586
mobile,-0.0026582214,-0.002574182
apps,0.0022488674,-0.002661378
constant,-0.00537035,0.0058109593
crash,0.001149931,0.00708199
causing,0.0040389188,-0.0015557944
lost,-0.0024158866,-0.0010750769
schedule,0.008147972,0.0007439203
sync,-0.004987936,0.004998532
conflagration,0.0024434482,0.004630328
doofusness,0.0013695516,-0.004525874
spent,-0.0013705652,-0.0003477961
already,0.0077267145,0.0021631948
used,-0.0011418922,0.0025425304
wait,-5.4960165e-05,0.0017478445
couple,-0.0049830717,0.001374227
city,-0.004634204,-0.0054455725
block,0.0025238853,0.0017374997
seen,-0.005899186,-0.00046967051
wild,0.002317583,0.002250005
people,0.0019859783,-0.0076203295
fast,0.004905723,-0.0055522523
still,-0.005022954,-0.004321744
pic,5.7186e-06,0.0035250136
terrible,0.005953226,-0.001878576
botch,-0.0032700165,0.003674758
timechange,-0.0054426566,0.0027710146
freak,0.00030806538,0.00293213
flight,0.00041138093,-0.00388708
missed,-1.0546621e-05,-0.004615802
panel,0.00036457935,-0.0035372765
behind,-0.002433175,-0.002323008
bloody,-0.002047331,0.00010206276
mary,0.0023604399,0.0013337474
meant,0.0027185366,0.0016997292
also,0.0008849892,-0.00015412572
wish,-0.00051736354,0.0022990908
dyac,-0.0070252507,-0.0050259302
stupid,-0.0058942647,0.0057095075
found,-0.0029827005,0.007977743
kyping,-0.00100176,0.0027779716
geolocation,0.00015446647,0.004843607
releasing,-0.001007649,-0.00025461082
background,0.0061250958,0.007035529
patch,-0.0029160932,-0.001699561
batterykiller,-0.0024422223,0.002243995
course,0.006236221,0.0021909638
built,-0.0024735208,-0.0035433462
temp,-0.00012961627,-0.0029078587
texas,0.005036256,-0.0009874349
understand,0.00033058415,-0.003499242
concept,-0.008790005,0.003949253
corralling,0.0028253396,0.0034801709
cattle,0.0035121718,-0.0073006675
pickmeupanipad,-0.0038046995,0.0045445752
opening,0.003220792,0.000811203
temporary,-0.003303571,-0.000496854
downtown,-0.0059964173,0.001996325
launch,-0.009448114,0.0037880004
traffic,-0.0020506978,0.0029386634
mall,0.0048918556,0.0013219309
crowded,-0.0027064208,-0.0077022105
fake,-0.002769514,-0.009067788
fucking,0.0018232957,-0.0017642049
dongle,0.0037068033,-0.0051721735
genius,0.001162793,-0.0015513019
news,-4.1865347e-05,-0.0047047934
last,-0.0031832969,0.0021717867
overheard,0.0048046396,0.0028631608
interactive,0.0018980867,0.004342847
hate,-0.00025296377,-0.0041723363
want,0.001161728,0.005562541
blackberry,0.004052817,0.0006584125
back,0.00061296794,0.0013763927
shocked,-0.0020625044,-0.004707217
cool,0.0001394812,-0.0036886758
technology,-0.0012634648,0.0015849266
heard,0.0015019155,0.0012521415
conference,-0.0018569424,0.0010991545
second,-0.0019960185,-0.003303068
halfway,-0.0026906633,0.0034056026
battery,-0.0046501174,0.0031456903
even,0.0046397485,0.0023075466
boarded,2.5321542e-05,-0.00024767965
plane,-0.0061193584,0.0013274895
amateurhour,0.0036547212,-0.0033179696
took,0.0037021255,0.004610375
away,0.006214461,-0.0002907956
lego,0.0035056432,0.003155224
replaced,-0.003802835,0.001203077
recharging,0.0049508573,-0.0024450405
might,0.0035751774,-0.0022828034
check,0.0012078164,-0.0067733806
price,-0.0077173,-0.00048136714
crap,0.0031366495,-0.00021288537
samsung,-0.0017681238,0.0035413
show,0.0024631242,0.004312352
process,-0.008048454,0.004042162
poos,0.001520707,0.0022990203
idea,-0.003887451,-0.0008462868
leaf,0.0024784645,0.0016708502
early,-0.0065719527,-0.0017138006
creative,-0.004085963,-5.6919785e-06
busy,0.0006143831,-0.0068953265
gamestorming,-0.0012197034,0.0037439836
trying,0.002701866,0.0011150384
balance,0.0007180059,0.0005051851
power,-8.591408e-05,-0.0026840963
suck,0.002619273,-0.000119440134
quick,0.0028577934,-0.0046611507
airplane,0.004934919,0.00010613863
mode,0.0011284273,0.0040579424
keep,-0.0028810634,0.0009452739
tweet,0.00082509796,-0.00092907983
thanks,-0.0013006408,0.003103307
precommerce,-0.00062882935,-0.0044767675
best,0.008518446,0.0036624642
thing,0.005965717,-0.010949724
gave,0.004139361,0.0056223734
money,0.004737858,-0.001223761
japan,-0.0011229815,0.0034920417
relief,0.0074437293,-0.00043283915
bing,0.0024360723,0.002147117
bettersearch,0.0064237076,-0.0063936724
