word,count
store,47
like,43
need,35
social,31
apps,30
circle,29
design,29
people,29
android,24
think,23
time,23
line,22
launch,22
today,21
look,21
would,19
news,18
network,18
phone,18
fail,18
year,17
headache,17
battery,17
long,17
product,17
say,16
user,15
thing,15
good,15
much,15
company,15
america,15
back,14
money,14
major,14
really,14
fascist,14
talk,14
take,14
going,13
mobile,13
already,13
called,13
room,13
many,12
wait,12
fast,12
tapworthy,12
know,11
suck,11
japan,11
bing,11
first,11
twitter,11
instead,11
button,11
doe,10
still,10
hate,10
want,10
blackberry,10
heard,10
best,10
gave,10
diller,10
content,10
better,10
everyone,10
nothing,10
fade,10
every,10
mayer,10
made,10
session,10
coming,9
come,9
ever,9
panel,9
last,9
even,9
getting,9
another,9
classiest,9
novelty,9
among,9
delegate,9
map,9
weekend,8
hour,8
circles,8
lost,8
might,8
tweet,8
relief,8
give,8
possibly,8
taking,8
work,8
great,8
life,8
digital,8
well,8
tablet,8
call,8
make,8
hand,8
swisher,8
morning,7
alarm,7
thanks,7
search,7
update,7
seems,7
feel,7
else,7
data,7
open,7
elegant,7
service,7
us,7
using,7
photo,7
anyone,7
kara,7
someone,7
right,7
tweeting,6
flipboard,6
next,6
also,6
stupid,6
technology,6
away,6
trying,6
pretty,6
barry,6
white,6
never,6
thought,6
location,6
tech,6
business,6
launched,6
enough,6
party,6
love,6
camera,6
marissa,6
note,6
support,6
solution,6
forward,6
hope,5
probably,5
schedule,5
temporary,5
cool,5
guess,5
daily,5
worst,5
help,5
macbook,5
anything,5
release,5
laptop,5
around,5
title,5
caring,5
shit,5
microsoft,5
mistake,5
group,5
douche,5
enchantment,5
part,5
day,5
working,5
weird,5
expect,5
live,5
world,5
technical,5
facebook,5
ridiculous,5
issue,5
worth,5
upgrade,4
late,4
false,4
crash,4
used,4
block,4
terrible,4
bloody,4
temp,4
crowded,4
fucking,4
check,4
samsung,4
show,4
success,4
find,4
job,4
stream,4
tell,4
qagb,4
future,4
read,4
walking,4
holding,4
newsapps,4
interface,4
delicious,4
drive,4
website,4
could,4
true,4
mean,4
building,4
netflix,4
stop,4
cant,4
screen,4
walk,4
calendar,4
sell,4
always,4
kinda,4
autocorrect,4
tried,4
walked,4
stuff,4
ipads,4
hear,4
awesome,4
glad,4
heat,4
million,4
sun,4
pnid,4
socialviewing,4
reason,4
cashmore,4
real,4
silly,4
interesting,4
dear,4
half,4
innovation,4
burn,4
please,4
existence,4
image,4
something,4
code,4
dead,3
station,3
charger,3
spent,3
city,3
seen,3
flight,3
behind,3
geolocation,3
batterykiller,3
texas,3
concept,3
opening,3
interactive,3
conference,3
idea,3
power,3
keep,3
shot,3
attention,3
follow,3
full,3
brick,3
result,3
book,3
heck,3
launching,3
cont,3
trend,3
audience,3
annoying,3
waiting,3
point,3
left,3
guide,3
hotel,3
change,3
brilliant,3
medium,3
buzz,3
deal,3
wifi,3
selling,3
lame,3
graph,3
download,3
wonder,3
rji,3
booth,3
psych,3
ubersocial,3
includes,3
uberguide,3
nexus,3
useful,3
tweetdeck,3
heading,3
smackdown,3
banality,3
brand,3
kawasaki,3
believe,3
explanation,3
survival,3
groupme,3
deleting,3
grrr,3
charge,3
running,3
asked,3
amazing,3
write,3
fuck,3
window,3
steve,3
official,3
excited,3
approach,3
meet,3
month,3
switch,3
disappointed,3
film,3
stuck,3
startup,3
five,3
game,3
term,3
maybe,3
friend,3
magic,3
experiment,3
nice,3
reporting,3
almost,3
khoi,3
vinh,3
media,3
sold,3
figure,3
community,3
human,3
watched,3
nobody,3
raise,3
packed,3
view,3
person,3
tomorrow,3
happen,3
cannot,3
concert,3
hack,3
crashing,3
horrible,3
step,3
josh,3
clark,3
rate,3
experience,3
overload,3
discovery,3
error,3
finally,3
fair,3
peter,3
minor,3
improvement,3
unless,3
autocorrects,3
continued,3
struggle,3
hotpot,3
hipster,3
source,3
looking,3
rise,2
plugin,2
festival,2
crashy,2
sunday,2
insane,2
version,2
changed,2
seriously,2
causing,2
sync,2
wild,2
pic,2
missed,2
meant,2
found,2
kyping,2
releasing,2
background,2
patch,2
built,2
traffic,2
mall,2
genius,2
overheard,2
replaced,2
price,2
process,2
leaf,2
busy,2
bettersearch,2
structured,2
potentially,2
higher,2
margin,2
model,2
shipment,2
appleatxdt,2
came,2
guy,2
based,2
spending,2
feeling,2
convention,2
exist,2
auto,2
week,2
word,2
care,2
remember,2
longer,2
addict,2
sharing,2
opinion,2
listen,2
subscription,2
biggest,2
shop,2
spend,2
problem,2
living,2
rule,2
ooing,2
ahing,2
everybody,2
internet,2
site,2
often,2
lord,2
vortex,2
smugness,2
unbearable,2
went,2
whole,2
typing,2
finger,2
let,2
okay,2
futuremf,2
trajan,2
destroyed,2
protocol,2
added,2
clean,2
software,2
luck,2
crazy,2
outlet,2
started,2
lying,2
signal,2
strength,2
hootsuite,2
useless,2
evil,2
disaster,2
randy,2
algorithm,2
makeshift,2
sense,2
agree,2
feature,2
least,2
ipod,2
lonely,2
planet,2
free,2
cluttering,2
handset,2
